t,Produto,Investimento,Salario,Consumo,Arrecadacao,CapitalHumano,GastoEduc,Emprego
72,-0.31612477542778405,-0.3197397792114698,-0.28091396938589863,-0.2702828245189637,-0.31612477542777295,-0.2851274474663934,-1.000000000000012,-0.03530999675536162
73,-0.3168654270286786,-0.32033590392901434,-0.2817196095866281,-0.2711080866283244,-0.3168654270286786,-0.2857645891862215,-1.000000000000012,-0.035245109827863885
74,-0.3175764564574024,-0.32090817635364033,-0.282493030406028,-0.2719003451849611,-0.3175764564574024,-0.286376245237252,-1.000000000000012,-0.035182815051804095
75,-0.3182590480009684,-0.32145755169892265,-0.28323551966016325,-0.27266091926334557,-0.3182590480009573,-0.2869634350462391,-1.000000000000012,-0.035123009178383846
76,-0.3189143386675086,-0.32198494679753775,-0.28394831380064156,-0.2733910753398794,-0.3189143386675086,-0.2875271372628663,-1.000000000000012,-0.035065593026983866
77,-0.31954342006322856,-0.3224912416626924,-0.2846325999462773,-0.27409202937126453,-0.31954342006322856,-0.28806829139083057,-1.000000000000012,-0.035010471331775594
78,-0.32014734019640834,-0.32297728098219514,-0.28528951783689527,-0.2747649487938264,-0.32014734019640834,-0.28858779935367895,-1.000000000000012,-0.034957552592762564
79,-0.3207271052108496,-0.32344387555323095,-0.2859201617123719,-0.275410954446087,-0.32072710521083847,-0.28908652699801696,-1.000000000000012,-0.03490674893147361
80,-0.32128368105206473,-0.3238918036510552,-0.2865255821185686,-0.2760311224171641,-0.32128368105206473,-0.28956530553657656,-1.000000000000012,-0.03485797595201845
81,-0.3218179950676414,-0.3243218123457403,-0.2871067876435096,-0.27662648582386096,-0.3218179950676414,-0.2900249329335969,-1.000000000000012,-0.03481115260612899
82,-0.32233093754520104,-0.32473461876186827,-0.28766474658572516,-0.27719803651845565,-0.32233093754520104,-0.29046617523473817,-1.000000000000012,-0.03476620106367401
83,-0.3228233631893618,-0.3251309112844325,-0.28820038855761343,-0.27774672673009926,-0.3228233631893618,-0.29088976784382714,-1.000000000000012,-0.03472304658694858
84,-0.3232960925408035,-0.32551135071912096,-0.288714606025553,-0.27827347064173225,-0.3232960925408035,-0.29129641674855433,-1.000000000000012,-0.03468161741032594
85,-0.3237499133389665,-0.32587657139974135,-0.2892082557902409,-0.27877914590540565,-0.3237499133389554,-0.29168679969708844,-1.000000000000012,-0.03464184462333986
86,-0.32418558183108237,-0.3262271822552121,-0.28968216040774486,-0.27926459509780566,-0.32418558183107127,-0.29206156732768385,-1.000000000000012,-0.03460366205918497
87,-0.3246038240290572,-0.32656376783013474,-0.2901371095553107,-0.27973062711864616,-0.3246038240290461,-0.29242134425305766,-1.000000000000012,-0.034567006186358995
88,-0.32500533691660616,-0.32688688926275633,-0.2905738613429909,-0.28017801853353896,-0.32500533691660616,-0.2927667301014125,-1.000000000000012,-0.03453181600476807
89,-0.3253907896086483,-0.32719708522815916,-0.2909931435729707,-0.2806075148642062,-0.3253907896086372,-0.2930983005158372,-1.000000000000012,-0.034498032946239654
90,-0.3257608244643051,-0.32749487283610934,-0.29139565494953334,-0.28101983182712287,-0.325760824464294,-0.29341660811368353,-1.000000000000012,-0.03446560077789984
91,-0.3261160581558453,-0.32778074849945105,-0.2917820662408199,-0.2814156565234871,-0.3261160581558453,-0.2937221834076187,-1.000000000000012,-0.034434465509980416
92,-0.3264570826948865,-0.32805518876170003,-0.29215302139434796,-0.28179564858166195,-0.3264570826948754,-0.29401553568979555,-1.000000000000012,-0.03440457530681229
93,-0.3267844664180064,-0.3283186510947389,-0.29250913860819905,-0.28216044125446427,-0.3267844664180064,-0.2942971538806849,-1.000000000000012,-0.03437588040147155
