t,Produto,Investimento,Salario,Consumo,Arrecadacao,CapitalHumano,GastoEduc,Emprego
76,-0.010325353047135888,-0.008403542810997422,-0.011196778108091276,-0.011459886145215314,-0.010325353047124786,-0.008915612428062047,-0.0003329890821301973,0.0008715226434086176
77,-0.009919338827280022,-0.008067485066209912,-0.010758589561621346,-0.011011983253472746,-0.009919338827280022,-0.00856298380458309,-0.0002996902237928367,0.0008393410355855835
78,-0.009528867634711613,-0.007744856663305377,-0.010336964212620536,-0.010580951577621178,-0.009528867634711613,-0.008224060738859507,-0.00026972124184121427,0.000808180119182822
79,-0.00915338712277336,-0.007435122433596675,-0.009931335360879867,-0.010166220083696054,-0.009153387122762258,-0.007898334967271214,-0.00024274915039201872,0.0007780255064204766
80,-0.008792360160225776,-0.0071377683058537755,-0.009541149485425837,-0.009767230302226704,-0.008792360160214674,-0.007585314560865086,-0.00021847426188159602,0.0007488607751238163
81,-0.008445264901013605,-0.006852300508686238,-0.009165866651705823,-0.009383436837218095,-0.008445264901002503,-0.0072845236715801676,-0.00019662685715182704,0.0007206678061422167
82,-0.008111594785475962,-0.006578244799892996,-0.008804960811303886,-0.009014307755994544,-0.008111594785475962,-0.006995502248630103,-0.00017696418883605958,0.0006934270817993138
83,-0.007790858480993812,-0.006315145720026116,-0.00845792000707668,-0.008659324874382701,-0.007790858480993812,-0.00671780573027192,-0.00015926778406116782,0.0006671179503703328
84,-0.007482579770889952,-0.006062565868703018,-0.00812424649594412,-0.008317983949801544,-0.007482579770889952,-0.00645100471553528,-0.0001433410170670335,0.0006417188598728529
85,-0.007186297398964481,-0.005820085208629866,-0.0078034567992379955,-0.007989794793950011,-0.0071862973989533785,-0.0061946846199867345,-0.00012900692459849594,0.0006172075637911334
86,-0.006901564875938515,-0.005587300391041161,-0.007495081690289673,-0.00767428131515091,-0.006901564875927413,-0.005948445318981754,-0.00011610623963376199,0.000593561302242307
87,-0.0066279502537569535,-0.005363824103721271,-0.00719866612790554,-0.0073709814997435785,-0.0066279502537569535,-0.0057119007816575085,-0.00010449562173331373,0.0005707569610269303
88,-0.0063650358730571455,-0.005149284447969471,-0.006913769142813386,-0.007079447340485601,-0.0063650358730571455,-0.0054846786983198115,-9.404606449159303e-05,0.0005487712105400888
89,-0.0061124180880445245,-0.00494332433234046,-0.006639963683774397,-0.006799244719390973,-0.0061124180880445245,-0.005266420103533509,-8.464146200592992e-05,0.0005275806268967287
90,-0.005869706973327116,-0.0047456008906987535,-0.006376836429988764,-0.006529953251932508,-0.005869706973316013,-0.005056778997236666,-7.617731903053482e-05,0.0005071617975360709
91,-0.005636526015950771,-0.004555784923476747,-0.006123987574158107,-0.006271166097626679,-0.005636526015939669,-0.004855421965421769,-6.855958973872589e-05,0.0004874914121266727
92,-0.00541251179585478,-0.0043735603565076,-0.0058810305817558195,-0.006022489742907311,-0.00541251179585478,-0.00466202780208258,-6.170363286983616e-05,0.00046854634125903516
93,-0.005197313657689939,-0.004198623725026884,-0.005647591929913709,-0.005783543760606857,-0.005197313657689939,-0.004476287133758916,-5.553327130369823e-05,0.0004503037035474833
94,-0.0049905933765748145,-0.004030683673372781,-0.005423310830410255,-0.005553960550064296,-0.004990593376563712,-0.004297902047800672,-4.9979945571099194e-05,0.0004327409227178336
95,-0.004792024819477714,-0.003869460474359432,-0.005207838939635945,-0.005333385061567775,-0.004792024819477714,-0.0041265857253391935,-4.4981952118661184e-05,0.00041583577619075385
96,-0.004601293604489243,-0.0037146855693448444,-0.005000840058144718,-0.00512147450838496,-0.0046012936044781405,-0.003962062079843065,-4.0483757823839284e-05,0.00039956643531624536
97,-0.004418096759628565,-0.0035661011235421647,-0.004801989822977859,-0.004917898068990123,-0.004418096759628565,-0.003804065401813439,-3.643538277753322e-05,0.00038391149872474273
98,-0.004242142382526737,-0.0034234596023030583,-0.004610975394458983,-0.004722336582174691,-0.004242142382526737,-0.003652340010396049,-3.279184509485944e-05,0.00036885001950537344
99,-0.004073149302008527,-0.0032865233571932606,-0.0044274951397804685,-0.004534482237139592,-0.004073149302008527,-0.003506639912165266,-2.9512661070540958e-05,0.00035436152709955593
100,-0.00391084674303821,-0.003155064237003735,-0.00425125831469142,-0.004354038260367954,-0.00391084674303821,-0.0033667284676575093,-2.6561395372048935e-05,0.0003404260440431628
101,-0.003754973995628852,-0.0030288632059560783,-0.004081984745196721,-0.004180718601132227,-0.003754973995628852,-0.0032323780657317336,-2.3905256141265596e-05,0.0003270240986452677
102,-0.003605280088458951,-0.00290770998300216,-0.003919404510255298,-0.004014247616923594,-0.003605280088458951,-0.003103369806201073,-2.151473079692323e-05,0.00031413673406976983
103,-0.003461523468384353,-0.0027914026917597035,-0.003763257626665517,-0.0038543597600027013,-0.003461523468384353,-0.0029794931907467515,-1.936325793039373e-05,0.0003017455137310776
104,-0.0033234716850794044,-0.002679747524825249,-0.00361329373721464,-0.003700799266559418,-0.003323471685068302,-0.00286054582222528,-1.742693228612424e-05,0.00028983252462477793
105,-0.0031909010831943085,-0.0025725584228086795,-0.003469271802680751,-0.0035533198486814577,-0.0031909010831832063,-0.002746333112546573,-1.5684239185187465e-05,0.0002783803772610227
106,-0.0030635965004632837,-0.00246965676514721,-0.0033309597985864414,-0.003411684390630665,-0.0030635965004632837,-0.002636667998923148,-1.4115815394344366e-05,0.00026737220417683005
107,-0.0029413509732290066,-0.0023708710716219272,-0.0031981344169706993,-0.0032756646497267283,-0.0029413509732290066,-0.0025313706687568605,-1.2704233942617549e-05,0.00025679165627234823
108,-0.0028239654492723254,-0.002276036719939256,-0.0030705807741449043,-0.003145040962326817,-0.0028239654492723254,-0.0024302682928301067,-1.143381063162252e-05,0.00024662289759280753
109,-0.002711248507736297,-0.0021849956691299965,-0.002948092124355206,-0.0030196019556116838,-0.0027112485077251947,-0.0023331947668570052,-1.0290429619530528e-05,0.00023685059917788465
110,-0.0026030160871548524,-0.0020975961983138447,-0.002830469579917505,-0.0028991442654446864,-0.00260301608714375,-0.00223999046135015,-9.261386690884166e-06,0.00022745993093487016
111,-0.002499091220642402,-0.002013692653224375,-0.00271752183791385,-0.002783472260436959,-0.002499091220642402,-0.002150501979536479,-8.33524806953534e-06,0.0002184365533342003
112,-0.002399303778866102,-0.0019331452058457543,-0.0026090649139054456,-0.002672397772873758,-0.002399303778866102,-0.002064581923333364,-7.501723309211172e-06,0.0002097666079725613
113,-0.002303490220678661,-0.001855819618301613,-0.0025049218823403052,-0.002565739836168923,-0.002303490220678661,-0.001982088667085158,-6.751550984951393e-06,0.00020143670749206422
114,-0.002211493351056415,-0.0017815870220094787,-0.0024049226243771926,-0.00246332442931374,-0.002211493351056415,-0.0019028861390157914,-6.0763959086607144e-06,0.0001934339252551709
115,-0.002123162086931085,-0.0017103237020865691,-0.0023089035824153115,-0.0023649842283313127,-0.002123162086931085,-0.0018268436102086838,-5.468756336668434e-06,0.0001857457841758503
116,-0.002038351230326807,-0.0016419108917142822,-0.0022167075220846932,-0.0022705583646920324,-0.002038351230326807,-0.0017538354908808174,-4.921880714103821e-06,0.00017836024548412155
117,-0.0019569212485581744,-0.0015762345737857508,-0.0021281833010977635,-0.0021798921909010893,-0.0019569212485581744,-0.001683741133817751,-4.429692668228569e-06,0.00017126569737957453
118,-0.0018787380621221317,-0.0015131852917904531,-0.002043185645406176,-0.0020928370529249563,-0.0018787380621221317,-0.0016164446447808345,-3.986723406956827e-06,0.00016445094330741483
119,-0.0018036728391401802,-0.0014526579669937867,-0.0019615749320189835,-0.002009250069634483,-0.001803672839129078,-0.0015518346996756804,-3.588051056269137e-06,0.00015790519030112193
120,-0.0017316017970947506,-0.0013945517225666393,-0.0018832169790261588,-0.0019289939192534966,-0.0017316017970836484,-0.0014898043683042594,-3.2292459595240075e-06,0.00015161803723628964
121,-0.0016624060112602201,-0.0013387697180400338,-0.001807982842383371,-0.0018519366325686626,-0.001662406011249118,-0.0014302509445340839,-2.9063213613511607e-06,0.0001455794631732843
122,-0.0015959712296287343,-0.0012852189842482709,-0.0017357486191471594,-0.0017779513927784762,-0.001595971229617632,-0.001373075782606925,-2.6156892318773828e-06,0.00013977981574431197
123,-0.0015321876945306734,-0.0012338102723830069,-0.0016663952576490004,-0.0017069163421146172,-0.0015321876945306734,-0.001318184139575962,-2.3541203209020978e-06,0.00013420979958489454
124,-0.0014709499704390616,-0.0011844579023811974,-0.001599808373831113,-0.0016387143946805516,-0.0014709499704390616,-0.001265485023438373,-2.118708286591442e-06,0.0001288604648985725
125,-0.0014121567777358734,-0.001137079621826853,-0.001535878074010455,-0.0015732330559625751,-0.0014121567777247712,-0.0012148910470077823,-1.906837465703859e-06,0.000123723196510106
126,-0.0013557108328288159,-0.0010915964673174905,-0.0014744987838044565,-0.0015103642482916513,-0.0013557108328177137,-0.0011663182871823885,-1.7161537080312428e-06,0.00011878970251899545
127,-0.0013015186936637946,-0.0010479326352452745,-0.001415569082785506,-0.0014500041424891918,-0.0013015186936637946,-0.001119686149542165,-1.5445383416690106e-06,0.00011405200359693168
128,-0.0012494906111104598,-0.001006015353244294,-0.0013589915455303192,-0.0013920529953304062,-0.0012494906111104598,-0.0010749172380197791,-1.3900845141634477e-06,0.00010950242252949494
129,-0.0011995403857656406,-0.0009657747590763321,-0.001304672587809641,-0.001336414992925139,-0.0011995403857656406,-0.0010319372295120033,-1.2510760871720095e-06,0.00010513357369124066
130,-0.0011515852298860096,-0.0009271437863445087,-0.0012525223185178014,-0.0012829980994499834,-0.0011515852298749074,-0.0009906747532428817,-1.1259684629116862e-06,0.00010093835289826103
131,-0.0011055456345498982,-0.0008900580501292055,-0.0012024543970090562,-0.001231713911575838,-0.0011055456345498982,-0.0009510612747343217,-1.0133716199511866e-06,9.690992774924467e-05
132,-0.001061345241870626,-0.0008544557414724707,-0.001154385895607568,-0.0011824775180135916,-0.0010613452418595237,-0.0009130309842064754,-9.12034459066291e-07,9.304172778890063e-05
133,-0.0010189107218283588,-0.0008202775234500415,-0.0011082371671244928,-0.0011352073642556526,-0.0010189107218283588,-0.0008765206892524802,-8.208310031676547e-07,8.932743524869835e-05
134,-0.0009781716537760055,-0.0007874664325946412,-0.0010639317172711493,-0.0010898251222135613,-0.0009781716537649032,-0.0008414697116543302,-7.387478961895511e-07,8.576097592083443e-05
135,-0.0009390604124748236,-0.0007559677844160007,-0.0010213960819682733,-0.0010462555648182992,-0.0009390604124748236,-0.0008078197881622451,-6.648731121217111e-07,8.233651047628854e-05
136,-0.0009015120585154079,-0.0007257290810525063,-0.0009805597088852203,-0.0010044264451614104,-0.0009015120585043057,-0.00077551497511541,-5.983858075708781e-07,7.904842547201696e-05
137,-0.0008654642325134354,-0.0006966999248181338,-0.0009413548438419461,-0.0009642683801658336,-0.0008654642325023332,-0.0007445015567486557,-5.385472179320061e-07,7.58913257348226e-05
